movie_name,movie_date,score,genre,movie_status,ori_lang,budget,revenue,country
Kill Boksoon,03-31-2023 ,69,"Action, Thriller, Crime", Released, Korean,119100000,763309047,KR
Candy Land,2023-06-01,65,"Horror, Thriller", Released, English,54060000,492646395,US
Venom: Let There Be Carnage,11-25-2021 ,69,"Science Fiction, Action, Adventure", Released, English,110000000,506863592,AU
Harry Potter and the Philosopher's Stone,11-29-2001 ,79,"Adventure, Fantasy", Released, English,125000000,976475550,AU
On the Count of Three,09-29-2022 ,66,"Comedy, Drama", Released, English,101600000,354385756,AU
Uncharted,02-17-2022 ,70,"Action, Adventure", Released, English,120000000,400689914,AU
DC League of Super-Pets,2022-03-09,74,"Animation, Action, Family, Comedy, Science Fiction", Released, English,90000000,203000000,AU
Moonfall,2022-03-02,64,Science Fiction, Released, English,150000000,59053195,AU
Athena,09-23-2022 ,67,Drama, Released, French,75500000,509726081,FR
Unicorn Wars,10-21-2022 ,64,"Action, Animation, Comedy, Fantasy, Horror, War", Released," Spanish, Castilian",50610000,27833,ES
Teen Wolf: The Movie,01-27-2023 ,78,"Action, Fantasy, TV Movie", Released, English,150400000,327346026,AU
Fantastic Beasts: The Secrets of Dumbledore,2022-07-04,68,"Fantasy, Adventure, Family", Released, English,200000000,404560145,AU
Cars 3,06-22-2017 ,69,"Animation, Adventure, Comedy, Family", Released, English,175000000,383541369,AU
The Ledge,02-18-2022 ,66,"Thriller, Adventure", Released, English,2500000,249984799,US
The Big 4,12-15-2022 ,71,"Action, Comedy, Crime", Released, Indonesian,98840000,339023160,ID
Interstellar,2014-06-11,84,"Adventure, Drama, Science Fiction", Released, English,165000000,648082655,AU
Viking Wolf,2023-03-02,59,"Horror, Thriller, Mystery", Released, Norwegian,139000000,405888913,AU
20th Century Girl,2022-06-10,83,"Romance, Drama", Released, Korean,119,77132590,KR
The Soccer Football Movie,2022-09-11,61,"Animation, Comedy, Family", Released, English,79000000,798590399,US
Boston Strangler,03-17-2023 ,67,"Thriller, Drama, Crime", Released, English,117000000,521124690,AU
Close,02-16-2023 ,78,Drama, Released, French,26523271,3129968,AU
Coraline,2009-06-08,78,"Animation, Family, Fantasy", Released, English,60000000,126037057,AU
Luther: The Fallen Sun,03-23-2023 ,69,"Thriller, Crime, Action, Mystery", Released, English,111400000,513441742,AU
Harry Potter and the Goblet of Fire,2005-01-12,78,"Adventure, Fantasy, Family", Released, English,150000000,886742787,AU
Piggy,10-14-2022 ,66,"Thriller, Drama, Horror", Released," Spanish, Castilian",2400000,380512,ES
Orphan: First Kill,2022-01-09,68,"Horror, Thriller", Released, English,51489867,9572765,AU
Fullmetal Alchemist: The Final Alchemy,06-24-2022 ,63,"Action, Adventure, Fantasy", Released, Japanese,133200000,514445172,JP
Malcriados,02-15-2023 ,78,Comedy, Released," Spanish, Castilian",116600000,586907459,MX
Polar,10-26-2022 ,66,"Action, Adventure, Thriller", Released," Spanish, Castilian",118000000,325759805,ES
Jesus,10-19-1979 ,83,"Drama, History", Released, English,179800000,600820848,US
Harry Potter and the Half-Blood Prince,07-15-2009 ,77,"Adventure, Fantasy", Released, English,250000000,929411069,AU
Legend of the Galactic Heroes: Die Neue These - Intrigue 1,09-30-2022 ,61,Animation, Released, Japanese,138000000,337725908,JP
Noise,03-17-2023 ,49,"Drama, Thriller", Released," Dutch, Flemish",147200000,1052163302,US
The Infernal Machine,09-23-2022 ,66,"Thriller, Mystery", Released, English,88200000,367763875,US
Abandoned,06-17-2022 ,63,"Horror, Mystery, Thriller", Released, English,97760000,384573451,US
The Ten Commandments: The Movie,01-28-2016 ,72,Drama, Released, Portuguese,39307171,37070177,BR
The Avengers,04-25-2012 ,77,"Science Fiction, Action, Adventure", Released, English,225000000,1515100211,AU
The Avengers,04-25-2012 ,77,"Science Fiction, Action, Adventure", Released, English,60000000,48585416,AU
Still Time,10-22-2022 ,65,"Romance, Comedy, Drama", Released, Italian,138000000,405994738,IT
Exodus: Gods and Kings,2014-11-12,58,"Adventure, Drama, Action", Released, English,140000000,268314513,AU
Wolf Hound,2022-01-09,66,"War, Action", Released, English,142000000,491960363,AU
The Little Mermaid,05-26-2023 ,0,"Adventure, Family, Fantasy, Romance", Post Production, English,205000000,178359863,US
F9,06-17-2021 ,72,"Action, Adventure, Crime, Thriller", Released, English,200000000,726229501,AU
The Wolf of Wall Street,01-22-2014 ,80,"Crime, Drama, Comedy", Released, English,100000000,389816136,AU
Pinball: The Man Who Saved the Game,03-17-2023 ,78,"Comedy, Drama, History, Romance", Released, English,146000000,469006626,US
"Tad, the Lost Explorer and the Emerald Tablet",2022-08-12,76,"Animation, Adventure, Comedy, Family, Fantasy", Released," Spanish, Castilian",119200000,379074782,AU
Brothers,03-18-2010 ,73,"Drama, Thriller, War", Released, English,26000000,45043870,AU
Brothers,03-18-2010 ,73,"Drama, Thriller, War", Released, English,13000000,17856688,AU
Harry Potter and the Prisoner of Azkaban,2004-03-06,80,"Adventure, Fantasy", Released, English,130000000,789592708,AU
Out of the Blue,10-20-2022 ,46,"Thriller, Romance", Released, English,4600000,731767,AU
RRR,03-25-2022 ,78,"Action, Drama", Released, Telugu,69000000,160000000,AU
Broker,03-30-2023 ,72,"Drama, Comedy", Released, Korean,28648000,18632208,AU
The Black Phone,06-30-2022 ,78,"Horror, Thriller", Released, English,17000000,161440742,AU
Tom and Jerry Snowman's Land,11-15-2022 ,69,"Family, Comedy, Animation, Adventure", Released, English,57440000,689333138,US
Transformers: Rise of the Beasts,2023-09-06,0,"Action, Adventure, Science Fiction", Post Production, English,200000000,1240262,US
Avengers: Endgame,04-24-2019 ,83,"Adventure, Science Fiction, Action", Released, English,400000000,2794731755,AU
Spider-Man: Across the Spider-Verse,2023-02-06,0,"Animation, Action, Adventure, Science Fiction", Post Production, English,264940000,175269999,US
MexZombies,10-26-2022 ,71,"Horror, Action, Comedy", Released," Spanish, Castilian",74400000,486333316,US
Harry Potter and the Order of the Phoenix,2007-11-07,77,"Adventure, Fantasy, Mystery", Released, English,150000000,939619849,AU
The Northman,04-21-2022 ,71,"Action, Adventure, Fantasy", Released, English,70000000,69633110,AU
I Believe,2017-07-11,70,"Family, Drama", Released, English,127600000,683545513,US
Blue's Big City Adventure,11-18-2022 ,74,"Family, Adventure, Music, Animation", Released, English,132000000,352601142,AU
After Ever Happy,2022-08-09,69,"Romance, Drama", Released, English,24220050,12467270,AU
On the Line,11-17-2022 ,62,Thriller, Released, English,10000000,16222303,AU
Ben-Hur,1960-12-05,79,"Action, Drama, History", Released, English,95000000,91669648,AU
Ben-Hur,1960-12-05,79,"Action, Drama, History", Released, English,15000000,73259017,AU
The Next 365 Days,08-19-2022 ,65,"Romance, Drama", Released, Polish,111600000,534358853,US
Hocus Pocus 2,09-30-2022 ,74,"Fantasy, Comedy, Family", Released, English,40000000,0,AU
Morbius,03-31-2022 ,62,"Action, Science Fiction, Fantasy", Released, English,75000000,162759437,AU
Cars 2,2011-11-06,61,"Animation, Family, Adventure, Comedy", Released, English,200000000,560155383,AU
Tangled,2011-06-01,76,"Animation, Family", Released, English,260000000,583777242,AU
The Minute You Wake Up Dead,2023-01-02,57,"Thriller, Crime", Released, English,170000000,351483918,AU
Fifty Shades of Grey,2015-12-02,59,"Drama, Romance, Thriller", Released, English,40000000,570794950,AU
Harry Potter and the Deathly Hallows: Part 2,07-13-2011 ,81,"Fantasy, Adventure", Released, English,125000000,1341511219,AU
The Help,2011-01-09,82,Drama, Released, English,25000000,213120004,AU
"Monsters, Inc.",12-26-2001 ,78,"Animation, Comedy, Family", Released, English,115000000,560483719,AU
The Ice Age Adventures of Buck Wild,03-25-2022 ,67,"Animation, Comedy, Adventure, Family", Released, English,143000000,508164908,AU
Samaritan,08-25-2022 ,68,"Action, Crime, Science Fiction", Released, English,100000000,380428883,US
Godzilla vs. Kong,03-24-2021 ,77,"Action, Fantasy, Science Fiction", Released, English,155000000,468043852,AU
Paradise City,2023-01-01,58,"Action, Crime, Thriller", Released, English,20000000,161597374,AU
Shang-Chi and the Legend of the Ten Rings,2021-02-09,76,"Action, Adventure, Fantasy", Released, English,150000000,432224634,AU
Zack Snyder's Justice League,03-18-2021 ,82,"Action, Adventure, Fantasy, Science Fiction", Released, English,70000000,136635234,AU
Lightyear,06-16-2022 ,71,"Animation, Action, Adventure, Family, Science Fiction", Released, English,200000000,218768299,AU
Ritual,2022-07-09,71,Thriller, Released," Dutch, Flemish",102400000,502443288,BE
Love at First Kiss,2023-03-03,62,"Romance, Comedy", Released," Spanish, Castilian",178400000,324436308,US
The Last Client,06-20-2022 ,76,"Thriller, Crime", Released, Danish,149400000,426175485,DK
Suzume,04-13-2023 ,82,"Animation, Drama, Adventure, Fantasy", Released, Japanese,8224024,102258981,AU
Pirates of the Caribbean: At World's End,05-24-2007 ,72,"Adventure, Fantasy, Action", Released, English,300000000,961000000,AU
King Shakir Recycle,07-14-2022 ,57,"Animation, Adventure, Family, Action, Comedy, Science Fiction", Released, Turkish,87200000,387787979,TR
The School for Good and Evil,10-19-2022 ,72,Fantasy, Released, English,137000000,750323830,AU
Monstrous,05-13-2022 ,60,"Horror, Mystery, Thriller", Released, English,6320000,138450,US
Shrek 2,06-17-2004 ,72,"Animation, Family, Comedy, Fantasy, Adventure, Romance", Released, English,70000000,935253978,AU
The Unbearable Weight of Massive Talent,04-21-2022 ,68,"Action, Comedy, Crime", Released, English,30000000,29116320,AU
Fifty Shades Freed,01-17-2018 ,67,"Drama, Romance", Released, English,55000000,371985018,AU
El tirabeque,11-25-2022 ,30,Comedy, Released," Spanish, Castilian",15541000,38139010,ES
The Battle at Lake Changjin: Water Gate Bridge,2022-11-02,69,"War, History, Action, Drama", Released, Chinese,200000000,626203271,AU
Spider-Man: Into the Spider-Verse,12-13-2018 ,84,"Action, Adventure, Animation, Science Fiction", Released, English,90000000,375540831,AU
